电子产品名,价格（元）,销量（件）,时间,分类,品牌,原价（元）,折扣率（%）,评价数量,好评率（%）,发货地,保修期（月）
飞利浦 电视 X7,14438,9212,2024/10/9,电视,飞利浦,14851.5,2.78,529,89.57,上海,12
飞利浦 电视 X10,1540,3277,2024/2/10,电视,飞利浦,1743.75,11.68,466,95.27,武汉,12
索尼 笔记本电脑 X4,5335,5917,2024/8/22,笔记本电脑,索尼,6481.78,17.69,143,84.02,杭州,24
飞利浦 耳机 X6,843,1531,2024/11/5,耳机,飞利浦,860.5,2.03,815,93.93,杭州,6
小米 电视 X9,3913,9595,2024/5/11,电视,小米,5691.37,31.25,790,95.77,成都,6
三星 智能家居 X4,4265,748,2024/12/10,智能家居,三星,5514.05,22.65,138,93.84,广州,6
OPPO 耳机 X5,688,2684,2024/12/24,耳机,OPPO,834.88,17.59,247,80.23,武汉,12
联想 智能手机 X3,4861,9399,2025/1/3,智能手机,联想,7041.12,30.96,164,88.64,杭州,24
小米 平板电脑 X3,4905,6159,2024/10/16,平板电脑,小米,5201.5,5.7,323,84.25,杭州,18
索尼 平板电脑 X3,5638,3654,2025/2/3,平板电脑,索尼,7969.7,29.26,255,92.29,成都,18
三星 投影仪 X9,1160,551,2024/12/13,投影仪,三星,1573.01,26.26,496,97.77,北京,6
戴尔 笔记本电脑 X7,9091,4803,2024/4/3,笔记本电脑,戴尔,12515.48,27.36,830,93.14,上海,18
小米 平板电脑 X6,3215,5329,2024/5/14,平板电脑,小米,3815.46,15.74,874,90.09,杭州,24
索尼 笔记本电脑 X5,16546,12651,2024/9/18,笔记本电脑,索尼,23287.08,28.95,761,95.92,上海,24
海尔 智能穿戴 X6,609,1710,2024/10/27,智能穿戴,海尔,913.27,33.32,465,98.63,深圳,18
华为 平板电脑 X3,2403,813,2025/1/8,平板电脑,华为,3067.54,21.66,95,81.27,成都,12
小米 电视 X10,5690,8100,2025/1/13,电视,小米,6992.91,18.63,145,83.79,上海,12
OPPO 投影仪 X9,6889,4609,2024/12/10,投影仪,OPPO,7251.75,5,737,97.58,成都,24
苹果 耳机 X5,310,901,2025/1/19,耳机,苹果,434.86,28.71,774,83.62,杭州,12
联想 平板电脑 X8,7571,2375,2024/5/19,平板电脑,联想,9744.08,22.3,856,83.57,杭州,6
三星 耳机 X4,137,1800,2024/11/1,耳机,三星,204.15,32.89,825,95.1,杭州,6
戴尔 耳机 X6,264,2883,2024/5/1,耳机,戴尔,310.18,14.89,12,92.73,上海,24
戴尔 智能家居 X1,304,1813,2024/5/20,智能家居,戴尔,340.94,10.84,577,89.16,北京,18
海尔 电视 X1,14126,2096,2024/9/14,电视,海尔,16177.41,12.68,161,82.59,成都,24
华为 智能手机 X8,6800,48619,2024/4/25,智能手机,华为,6925.98,1.82,450,95.79,武汉,12
华为 耳机 X10,916,1901,2024/3/31,耳机,华为,1094.39,16.3,86,96.98,深圳,6
苹果 笔记本电脑 X10,5016,11191,2024/4/19,笔记本电脑,苹果,7256.01,30.87,553,98.9,成都,6
苹果 笔记本电脑 X4,15505,17273,2024/10/14,笔记本电脑,苹果,20597.12,24.72,553,94.79,广州,24
联想 耳机 X3,142,201,2024/12/31,耳机,联想,188.47,24.65,51,90.61,杭州,6
三星 电视 X4,2481,2320,2024/8/13,电视,三星,2963.05,16.27,474,85.92,武汉,18
苹果 平板电脑 X10,642,5181,2024/12/24,平板电脑,苹果,933.69,31.24,412,93.78,北京,12
华为 电视 X6,14782,2953,2024/4/3,电视,华为,20311.28,27.22,241,84.33,广州,18
三星 笔记本电脑 X5,18643,14185,2024/5/19,笔记本电脑,三星,22088.34,15.6,124,80.61,深圳,18
小米 投影仪 X5,7841,2172,2024/5/20,投影仪,小米,7997.58,1.96,302,95.96,杭州,24
海尔 智能穿戴 X1,279,1124,2024/3/17,智能穿戴,海尔,292.82,4.72,127,89.03,广州,6
华为 投影仪 X1,6869,3703,2024/9/10,投影仪,华为,7402.04,7.2,961,93.29,北京,18
索尼 智能穿戴 X8,901,4734,2024/6/9,智能穿戴,索尼,1156.91,22.12,704,90.24,上海,18
华为 电视 X3,10651,1120,2024/3/7,电视,华为,14587.21,26.98,247,89,北京,12
OPPO 耳机 X7,675,1026,2024/9/1,耳机,OPPO,955.97,29.39,965,84.81,武汉,24
OPPO 耳机 X9,719,2767,2024/8/28,耳机,OPPO,963.49,25.38,777,95.61,成都,6
华为 智能穿戴 X6,192,4218,2024/10/14,智能穿戴,华为,197.03,2.55,916,82.55,武汉,12
苹果 电视 X5,8077,6591,2024/10/27,电视,苹果,9273.12,12.9,541,91.01,广州,12
索尼 智能穿戴 X7,363,3914,2024/11/10,智能穿戴,索尼,364.62,0.44,117,80.66,深圳,18
飞利浦 电视 X7,10684,4047,2024/11/2,电视,飞利浦,13190.13,19,706,91.67,杭州,18
索尼 智能手机 X7,6611,39366,2024/7/26,智能手机,索尼,8171.38,19.1,286,88.4,深圳,24
OPPO 笔记本电脑 X1,4655,19510,2024/12/13,笔记本电脑,OPPO,6744.24,30.98,511,87.38,上海,24
戴尔 投影仪 X4,9612,2805,2024/12/18,投影仪,戴尔,10184.95,5.63,818,97.95,成都,12
联想 电视 X2,5750,7402,2024/9/17,电视,联想,7480.25,23.13,288,96.93,武汉,18
索尼 投影仪 X7,3556,4786,2024/12/31,投影仪,索尼,4730.85,24.83,530,82.73,上海,6
飞利浦 平板电脑 X6,1278,8446,2024/6/2,平板电脑,飞利浦,1737.72,26.46,32,89.08,广州,12
OPPO 平板电脑 X9,3277,4228,2024/9/15,平板电脑,OPPO,3882.26,15.59,585,95.81,上海,6
OPPO 平板电脑 X1,3654,9317,2024/12/21,平板电脑,OPPO,5320.45,31.32,10,95.08,深圳,24
戴尔 智能家居 X1,2505,98,2024/3/7,智能家居,戴尔,3373,25.73,163,85.59,深圳,18
联想 智能穿戴 X6,921,4032,2024/4/10,智能穿戴,联想,1130.25,18.51,632,90.25,成都,12
三星 耳机 X4,332,365,2024/4/25,耳机,三星,401.68,17.35,668,92.25,深圳,6
飞利浦 投影仪 X1,1450,3899,2024/11/6,投影仪,飞利浦,2032.62,28.66,319,94.47,武汉,6
联想 电视 X2,8277,3100,2025/2/5,电视,联想,12011.92,31.09,682,84.68,广州,12
索尼 智能家居 X7,3690,1780,2024/12/25,智能家居,索尼,5499.59,32.9,696,86.78,上海,6
小米 笔记本电脑 X4,10320,3372,2024/11/15,笔记本电脑,小米,12061.46,14.44,871,94.37,武汉,18
苹果 智能家居 X6,2033,357,2024/6/27,智能家居,苹果,2046.55,0.66,681,96.21,北京,12
华为 投影仪 X7,7450,1897,2024/8/19,投影仪,华为,10205.8,27,283,85,上海,6
戴尔 智能手机 X9,8593,19500,2024/8/22,智能手机,戴尔,11508.4,25.33,515,82.38,武汉,24
华为 智能家居 X10,3723,1236,2024/9/25,智能家居,华为,4351.59,14.45,724,92.79,上海,18
飞利浦 电视 X4,12002,6567,2024/10/28,电视,飞利浦,14687.48,18.28,444,92.71,上海,6
小米 平板电脑 X7,6333,9120,2024/10/20,平板电脑,小米,8593.2,26.3,833,98.48,武汉,24
飞利浦 智能家居 X5,444,185,2024/7/10,智能家居,飞利浦,573,22.51,500,93.13,成都,12
索尼 智能家居 X5,1294,2240,2024/7/11,智能家居,索尼,1866.2,30.66,800,89.57,北京,12
戴尔 电视 X9,11970,1066,2025/1/11,电视,戴尔,14956.42,19.97,112,85.43,杭州,24
三星 耳机 X3,880,264,2024/3/15,耳机,三星,909.99,3.3,681,80.77,成都,12
三星 智能手机 X2,5321,46958,2024/4/25,智能手机,三星,7273.17,26.84,854,84.06,杭州,24
索尼 投影仪 X3,9022,2446,2025/1/20,投影仪,索尼,12482.77,27.72,192,81.19,广州,6
小米 平板电脑 X1,2468,759,2024/2/27,平板电脑,小米,3537.71,30.24,692,96.54,杭州,24
索尼 智能家居 X6,2358,1430,2024/11/3,智能家居,索尼,2603.06,9.41,844,94.17,广州,12
OPPO 投影仪 X4,3839,2743,2024/9/3,投影仪,OPPO,3896.57,1.48,80,90.51,深圳,18
联想 耳机 X4,405,2671,2024/4/30,耳机,联想,569.95,28.94,875,89.05,成都,12
小米 投影仪 X3,2677,460,2024/5/8,投影仪,小米,3137.07,14.67,431,88.37,上海,12
戴尔 智能家居 X1,4972,2980,2024/7/10,智能家居,戴尔,5343.18,6.95,236,85.4,北京,18
飞利浦 电视 X7,12579,1498,2025/1/22,电视,飞利浦,17612.23,28.58,854,89.35,深圳,18
三星 电视 X9,4819,7636,2024/8/27,电视,三星,5151.13,6.45,117,80.47,杭州,18
华为 智能家居 X7,2792,567,2024/2/25,智能家居,华为,2824.92,1.17,103,95.46,北京,18
飞利浦 耳机 X3,768,2621,2024/8/29,耳机,飞利浦,857.15,10.4,469,95.66,杭州,24
联想 智能手机 X2,7019,14691,2024/8/7,智能手机,联想,9517.63,26.25,568,80.33,武汉,24
联想 智能家居 X5,211,2633,2024/6/9,智能家居,联想,271.96,22.42,37,85.76,深圳,12
三星 平板电脑 X3,4068,3749,2024/5/12,平板电脑,三星,4954.14,17.89,235,81.04,成都,24
戴尔 投影仪 X2,6902,407,2024/5/20,投影仪,戴尔,8035.2,14.1,24,92.09,武汉,24
三星 耳机 X3,606,2243,2024/3/27,耳机,三星,853.5,29,200,97.56,上海,18
戴尔 耳机 X2,987,590,2024/10/25,耳机,戴尔,1349.15,26.84,791,83.53,深圳,12
OPPO 智能家居 X4,1462,1953,2024/4/21,智能家居,OPPO,2014.19,27.41,983,82.13,北京,24
索尼 智能手机 X9,2121,25561,2024/12/25,智能手机,索尼,2321.44,8.63,500,92.26,杭州,18
小米 电视 X5,13134,548,2024/10/19,电视,小米,15923.26,17.52,63,98.39,杭州,12
苹果 电视 X3,7331,564,2024/6/6,电视,苹果,10718.88,31.61,143,81.3,北京,12
飞利浦 笔记本电脑 X9,18978,2691,2024/12/25,笔记本电脑,飞利浦,25468.05,25.48,905,87.93,深圳,24
苹果 电视 X9,8317,8423,2024/12/30,电视,苹果,11946.86,30.38,496,92.38,北京,12
戴尔 耳机 X3,336,288,2024/5/15,耳机,戴尔,382.1,12.06,268,97.93,深圳,6
索尼 平板电脑 X8,1358,5490,2024/10/29,平板电脑,索尼,1985.22,31.59,383,84.75,杭州,12
飞利浦 智能手机 X1,3289,29185,2025/1/8,智能手机,飞利浦,3748.57,12.26,259,88.66,杭州,6
苹果 平板电脑 X7,3630,1145,2024/3/18,平板电脑,苹果,4881.33,25.64,881,82.66,广州,6
索尼 智能手机 X7,2143,42393,2024/3/25,智能手机,索尼,3012.38,28.86,619,96.96,武汉,6
小米 智能穿戴 X9,775,3079,2024/10/8,智能穿戴,小米,1021.2,24.11,99,86.28,深圳,24
索尼 电视 X1,9090,7366,2024/10/5,电视,索尼,9349.27,2.77,99,83.91,成都,6
苹果 智能穿戴 X1,314,3330,2024/9/20,智能穿戴,苹果,410.98,23.6,860,94.72,武汉,12
索尼 智能家居 X4,3494,714,2024/6/13,智能家居,索尼,3916.02,10.78,492,98.53,广州,24
小米 智能家居 X6,1127,2334,2024/3/23,智能家居,小米,1298.07,13.18,82,95.41,深圳,18
OPPO 智能家居 X7,966,906,2024/3/10,智能家居,OPPO,984.25,1.85,453,96.19,武汉,18
飞利浦 智能家居 X6,3065,306,2024/12/2,智能家居,飞利浦,3105.83,1.31,49,97.34,成都,12
小米 投影仪 X4,3128,4805,2024/8/20,投影仪,小米,3948.69,20.78,490,89.28,广州,18
华为 投影仪 X7,5553,4926,2024/8/14,投影仪,华为,6210.11,10.58,722,84.43,成都,6
联想 耳机 X2,740,2478,2024/7/9,耳机,联想,1044.47,29.15,954,95.77,深圳,18
戴尔 平板电脑 X9,1996,6373,2024/11/29,平板电脑,戴尔,2885.5,30.83,250,98.81,武汉,24
飞利浦 投影仪 X5,3193,3567,2024/4/14,投影仪,飞利浦,3289.16,2.92,601,92.94,上海,6
小米 智能手机 X3,3811,8470,2024/6/16,智能手机,小米,5042.98,24.43,65,82.02,武汉,24
海尔 智能穿戴 X9,123,4731,2024/8/3,智能穿戴,海尔,181.69,32.3,413,89.79,成都,6
三星 投影仪 X9,8762,2704,2024/3/29,投影仪,三星,9482.93,7.6,693,83.83,广州,18
苹果 平板电脑 X2,5302,9038,2025/1/30,平板电脑,苹果,5513.57,3.84,219,98.76,成都,6
戴尔 智能手机 X10,5795,23648,2024/2/11,智能手机,戴尔,6336.59,8.55,714,98.42,武汉,18
小米 笔记本电脑 X5,18375,4431,2024/7/20,笔记本电脑,小米,25081.78,26.74,915,96.17,成都,6
三星 平板电脑 X10,3674,4934,2024/10/14,平板电脑,三星,4739.62,22.48,571,94.55,武汉,12
苹果 智能家居 X2,2934,1996,2024/4/13,智能家居,苹果,3665.47,19.96,543,82.84,北京,6
三星 笔记本电脑 X4,16819,11952,2024/11/15,笔记本电脑,三星,22303.85,24.59,729,89.6,上海,12
小米 笔记本电脑 X6,11676,19727,2024/2/21,笔记本电脑,小米,11869.28,1.63,517,96.58,北京,24
海尔 平板电脑 X4,7129,1800,2024/12/17,平板电脑,海尔,8612.47,17.22,992,83.45,广州,12
OPPO 智能家居 X2,1789,259,2024/10/18,智能家居,OPPO,2156.06,17.02,379,94.6,深圳,12
三星 智能手机 X6,6132,1816,2024/8/31,智能手机,三星,8142.8,24.69,495,81.88,上海,24
海尔 电视 X5,6154,6491,2024/10/22,电视,海尔,8308.54,25.93,411,98.13,武汉,12
海尔 投影仪 X7,4899,3001,2024/11/18,投影仪,海尔,5068.97,3.35,25,93.07,杭州,18
飞利浦 电视 X2,6438,272,2024/7/5,电视,飞利浦,6477.38,0.61,334,89.48,北京,12
三星 智能穿戴 X1,940,1151,2024/6/26,智能穿戴,三星,1005.44,6.51,928,92.8,广州,24
联想 笔记本电脑 X10,10092,17234,2025/1/1,笔记本电脑,联想,14603.51,30.89,366,92.27,广州,24
三星 投影仪 X4,6573,3502,2024/11/29,投影仪,三星,7640.51,13.97,394,96.71,上海,12
海尔 智能手机 X5,2242,15696,2024/5/5,智能手机,海尔,3300.12,32.06,185,80.11,成都,18
三星 智能手机 X10,1842,30914,2024/7/4,智能手机,三星,2681.75,31.31,916,86.02,广州,18
三星 智能家居 X9,1672,228,2024/3/19,智能家居,三星,1703.57,1.85,990,92.57,杭州,12
飞利浦 智能穿戴 X5,250,271,2024/8/17,智能穿戴,飞利浦,294.37,15.07,467,83.59,成都,6
OPPO 智能家居 X1,3840,260,2024/4/6,智能家居,OPPO,5549.52,30.8,234,82.75,成都,18
飞利浦 笔记本电脑 X3,8174,6311,2025/1/20,笔记本电脑,飞利浦,11899.57,31.31,102,91.45,成都,6
戴尔 平板电脑 X10,1208,4656,2024/7/29,平板电脑,戴尔,1728.4,30.11,170,90.13,深圳,12
海尔 智能穿戴 X6,278,217,2024/2/17,智能穿戴,海尔,278.13,0.05,69,84.44,上海,24
苹果 投影仪 X3,9725,3341,2024/4/7,投影仪,苹果,12944.08,24.87,495,82.13,武汉,24
戴尔 智能手机 X7,5595,36358,2024/9/15,智能手机,戴尔,6022.28,7.09,332,97.32,深圳,12
索尼 电视 X9,3079,4475,2024/11/25,电视,索尼,3544.53,13.13,712,84.76,上海,18
小米 电视 X10,10984,5787,2024/4/30,电视,小米,16020.64,31.44,339,82.85,成都,24
海尔 耳机 X1,381,1831,2025/1/26,耳机,海尔,424.87,10.32,398,84.27,上海,24
华为 智能手机 X5,6835,26478,2024/7/8,智能手机,华为,8933.15,23.49,115,87.44,深圳,18
索尼 笔记本电脑 X7,10858,18750,2024/3/3,笔记本电脑,索尼,14313.9,24.14,236,82.67,上海,24
OPPO 投影仪 X4,9176,2958,2024/5/18,投影仪,OPPO,12527.57,26.75,837,93.78,广州,18
联想 智能穿戴 X5,828,770,2025/2/1,智能穿戴,联想,1073.05,22.84,396,83.26,北京,18
飞利浦 耳机 X6,765,869,2024/3/26,耳机,飞利浦,927.4,17.51,686,91.76,北京,24
华为 电视 X3,5204,5901,2024/4/30,电视,华为,6499.55,19.93,630,98.27,上海,12
小米 耳机 X1,429,1562,2024/11/19,耳机,小米,594.88,27.88,574,93.35,上海,12
小米 笔记本电脑 X8,11414,1430,2024/11/5,笔记本电脑,小米,15362.16,25.7,109,97.7,广州,6
苹果 平板电脑 X10,7323,5917,2024/11/26,平板电脑,苹果,8330,12.09,152,91.04,成都,12
索尼 笔记本电脑 X9,11234,18280,2024/5/17,笔记本电脑,索尼,16013.44,29.85,17,87.25,深圳,18
海尔 平板电脑 X1,1177,7497,2024/10/18,平板电脑,海尔,1427.42,17.54,379,80.77,杭州,18
OPPO 电视 X9,9677,3082,2024/8/31,电视,OPPO,10973.49,11.81,182,98.21,上海,12
苹果 电视 X3,11419,1040,2024/4/4,电视,苹果,14170.03,19.41,262,91.05,广州,18
索尼 智能穿戴 X1,289,1362,2024/12/14,智能穿戴,索尼,417.74,30.82,578,83.8,上海,12
飞利浦 智能手机 X7,5490,16006,2024/12/7,智能手机,飞利浦,7618.02,27.93,415,82.39,深圳,6
苹果 投影仪 X7,3400,288,2024/7/10,投影仪,苹果,3735.9,8.99,80,90.39,武汉,6
苹果 智能家居 X8,2592,1452,2024/12/19,智能家居,苹果,3854.7,32.76,476,97.72,武汉,24
索尼 笔记本电脑 X5,17079,11958,2025/1/25,笔记本电脑,索尼,19579.9,12.77,356,84.99,杭州,18
飞利浦 平板电脑 X3,5735,7094,2024/2/20,平板电脑,飞利浦,7154.59,19.84,508,90.09,杭州,24
小米 投影仪 X5,1445,832,2024/10/30,投影仪,小米,2126.6,32.05,715,83.31,武汉,24
OPPO 笔记本电脑 X6,19065,10961,2024/7/21,笔记本电脑,OPPO,21854.28,12.76,657,92.16,上海,12
苹果 智能手机 X6,5454,3980,2024/11/23,智能手机,苹果,5689.26,4.14,729,84,杭州,18
飞利浦 智能穿戴 X3,607,3492,2024/8/2,智能穿戴,飞利浦,862.68,29.64,234,93.65,北京,6
小米 智能家居 X4,1685,675,2024/12/10,智能家居,小米,2329.9,27.68,233,95.29,上海,12
三星 电视 X7,4784,379,2024/3/23,电视,三星,7120.48,32.81,421,92.14,杭州,24
华为 投影仪 X10,2075,1765,2024/5/19,投影仪,华为,2809.76,26.15,44,96.59,上海,18
三星 平板电脑 X1,5585,9566,2024/7/11,平板电脑,三星,5742.05,2.74,28,80.93,深圳,6
索尼 耳机 X7,638,567,2024/8/29,耳机,索尼,857.27,25.58,347,82.5,上海,6
索尼 智能手机 X9,7450,45349,2024/4/13,智能手机,索尼,7824.7,4.79,493,87.51,深圳,18
海尔 智能家居 X2,4352,2735,2024/4/26,智能家居,海尔,5352.51,18.69,875,91.72,广州,18
索尼 平板电脑 X8,5603,1731,2024/4/5,平板电脑,索尼,8294.71,32.45,34,97.94,北京,24
联想 平板电脑 X7,5758,9232,2025/1/12,平板电脑,联想,8539.27,32.57,192,86.33,广州,12
联想 笔记本电脑 X3,6151,16018,2025/1/19,笔记本电脑,联想,8375.55,26.56,894,84.19,成都,24
OPPO 电视 X1,7287,4866,2024/12/7,电视,OPPO,8141.54,10.5,557,80.78,北京,6
苹果 投影仪 X4,648,1908,2024/10/24,投影仪,苹果,938,30.92,479,97.93,成都,6
小米 投影仪 X6,3935,2318,2024/5/9,投影仪,小米,5598.17,29.71,654,93.72,成都,6
戴尔 智能家居 X10,4644,1655,2024/6/6,智能家居,戴尔,5625.62,17.45,729,92.53,广州,24
OPPO 平板电脑 X5,2333,3337,2024/8/8,平板电脑,OPPO,2706.7,13.81,946,87.32,北京,18
小米 投影仪 X4,2048,1910,2024/4/6,投影仪,小米,2272.42,9.88,462,97.38,深圳,6
联想 耳机 X5,304,2262,2024/5/31,耳机,联想,356.48,14.72,296,92.17,广州,18
索尼 智能穿戴 X6,977,3261,2024/3/14,智能穿戴,索尼,1032.37,5.36,146,86.02,广州,12
苹果 耳机 X9,493,370,2025/1/2,耳机,苹果,661.6,25.48,125,81.09,深圳,12
三星 笔记本电脑 X5,10953,6102,2024/7/9,笔记本电脑,三星,14137.1,22.52,887,82.53,广州,24
索尼 平板电脑 X9,5826,4751,2025/1/28,平板电脑,索尼,6456.99,9.77,200,80.37,武汉,18
戴尔 笔记本电脑 X6,18184,1662,2024/2/22,笔记本电脑,戴尔,21226.74,14.33,51,95.78,杭州,24
小米 投影仪 X1,4562,4135,2024/5/20,投影仪,小米,6835.75,33.26,232,90.36,上海,18
华为 耳机 X2,103,1218,2024/5/11,耳机,华为,122.05,15.61,431,81.46,成都,24
联想 平板电脑 X3,3637,9879,2024/7/1,平板电脑,联想,3711.62,2.01,190,85.89,杭州,24
戴尔 智能家居 X3,4903,2578,2024/8/1,智能家居,戴尔,6290.39,22.06,587,95.12,广州,24
联想 平板电脑 X1,3225,1197,2025/2/6,平板电脑,联想,4740.03,31.96,742,88.44,北京,24
OPPO 投影仪 X10,3013,2711,2024/8/23,投影仪,OPPO,3059.31,1.51,530,90.56,上海,12
华为 耳机 X6,719,806,2024/3/16,耳机,华为,994.03,27.67,114,91.17,武汉,18
苹果 智能家居 X6,4805,1032,2024/11/4,智能家居,苹果,5052.47,4.9,11,85.21,成都,18
索尼 电视 X5,14616,8116,2024/2/14,电视,索尼,15291.74,4.42,601,83.95,武汉,18
三星 智能手机 X1,7052,3758,2024/11/27,智能手机,三星,9631.09,26.78,445,80.44,北京,18
苹果 耳机 X5,261,2001,2024/4/19,耳机,苹果,272.94,4.37,138,95.76,深圳,6
三星 智能家居 X10,1434,175,2024/7/5,智能家居,三星,1869.17,23.28,458,94.92,深圳,12
联想 智能家居 X3,501,2062,2024/5/11,智能家居,联想,652.93,23.27,602,88.63,杭州,6
戴尔 平板电脑 X7,3910,2476,2024/3/26,平板电脑,戴尔,5186.58,24.61,482,82.89,上海,18
联想 笔记本电脑 X10,14425,852,2024/12/27,笔记本电脑,联想,18048.16,20.07,105,93.11,成都,6
三星 电视 X4,3583,488,2024/7/28,电视,三星,3661.66,2.15,436,85.99,成都,18
苹果 智能家居 X7,2414,2093,2024/3/1,智能家居,苹果,3512.4,31.27,438,92.09,武汉,18
飞利浦 平板电脑 X1,913,1157,2024/11/19,平板电脑,飞利浦,1174.06,22.24,345,82.82,广州,24
戴尔 笔记本电脑 X8,11882,2237,2025/1/24,笔记本电脑,戴尔,16269.35,26.97,16,81.38,深圳,6
飞利浦 投影仪 X7,1459,1986,2024/6/21,投影仪,飞利浦,2039.86,28.48,766,86.04,成都,18
戴尔 耳机 X4,104,1450,2025/1/15,耳机,戴尔,118.74,12.41,545,92.2,上海,6
联想 智能穿戴 X3,341,3778,2024/9/20,智能穿戴,联想,359.85,5.24,910,87.37,成都,18
索尼 电视 X1,8148,2657,2024/8/21,电视,索尼,8416.41,3.19,195,94.42,广州,12
戴尔 耳机 X6,928,998,2024/11/29,耳机,戴尔,998.72,7.08,730,87.15,深圳,18
华为 平板电脑 X3,7466,1485,2024/10/3,平板电脑,华为,11027.25,32.29,401,80.85,北京,18
海尔 智能手机 X3,8572,14911,2024/7/28,智能手机,海尔,10690.22,19.81,905,94.22,深圳,24
索尼 智能家居 X10,4306,2081,2024/5/28,智能家居,索尼,4601.11,6.41,655,96.23,上海,6
华为 投影仪 X1,1259,3246,2024/3/29,投影仪,华为,1395.28,9.77,724,82.35,上海,6
联想 投影仪 X2,9080,192,2024/7/10,投影仪,联想,9645.64,5.86,794,83.8,上海,24
联想 智能穿戴 X5,965,1838,2024/6/18,智能穿戴,联想,1135.29,15,258,88.08,上海,18
华为 投影仪 X6,8123,707,2024/9/9,投影仪,华为,8403.24,3.33,213,91.14,北京,12
联想 耳机 X4,812,2285,2024/8/8,耳机,联想,815.74,0.46,714,85.54,武汉,18
小米 智能穿戴 X1,421,3924,2024/11/6,智能穿戴,小米,533.57,21.1,282,95.29,深圳,6
飞利浦 智能穿戴 X4,703,4445,2024/12/17,智能穿戴,飞利浦,823.46,14.63,362,97.46,杭州,6
苹果 智能穿戴 X2,243,4419,2024/9/9,智能穿戴,苹果,277.93,12.57,365,96.71,上海,24
联想 笔记本电脑 X10,12571,14870,2024/5/30,笔记本电脑,联想,15625.4,19.55,334,82.49,上海,6
海尔 电视 X5,1806,6016,2024/3/6,电视,海尔,2252.76,19.83,997,89.14,广州,6
苹果 耳机 X3,163,2772,2024/6/21,耳机,苹果,196.23,16.93,291,89.69,深圳,18
苹果 投影仪 X10,1506,1583,2024/4/7,投影仪,苹果,1654.33,8.97,341,87.88,武汉,18
索尼 智能家居 X2,1373,1457,2024/11/25,智能家居,索尼,1622.3,15.37,382,82.59,广州,24
索尼 耳机 X7,830,195,2024/9/1,耳机,索尼,1064.59,22.04,951,81.76,杭州,6
